Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
DALRYMPLE BAY INFRASTRUCTURE LIMITED,DBI,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
DART MINING NL,DTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DATA#3 LIMITED,DTL,Software & Services,IT Services; Software,,,
DATADOT TECHNOLOGY LIMITED,DDT,Automobiles & Components,Auto Components; Automobiles,,,
DATAWORKS GROUP LIMITED,DWG,Software & Services,IT Services; Software,,,
DATELINE RESOURCES LIMITED,DTR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DE.MEM LIMITED,DEM,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
DECIDR AI INDUSTRIES LTD,DAI,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
DEEP YELLOW LIMITED,DYL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
DELOREAN CORPORATION LIMITED,DEL,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
DELTA LITHIUM LIMITED,DLI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DESANE GROUP HOLDINGS LIMITED,DGH,Real Estate Management & Development,Real Estate Management & Development,,,
DESERT METALS LIMITED,DM1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DESERT MINERALS LTD,DSM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DESOTO RESOURCES LIMITED,DES,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DETERRA ROYALTIES LIMITED,DRR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DEVELOP GLOBAL LIMITED,DVP,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DEVEX RESOURCES LIMITED,DEV,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
DEXUS,DXS,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
DEXUS CONVENIENCE RETAIL REIT,DXC,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
DEXUS INDUSTRIA REIT.,DXI,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
DGL GROUP LIMITED,DGL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DGR GLOBAL LIMITED,DGR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DIABLO RESOURCES LIMITED,DBO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DIATREME RESOURCES LIMITED,DRX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DICKER DATA LIMITED,DDR,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
DIGICO INFRASTRUCTURE REIT,DGT,Class Pend,Other/Not Applicable,,,
DIGITALX LIMITED,DCC,Software & Services,IT Services; Software,,,
DIMERIX LIMITED,DXB,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
DISCOVERY ALASKA LIMITED,DAF,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DIVERSIFIED UNITED INVESTMENT LIMITED,DUI,Not Applic,Other/Not Applicable,,,
DJERRIWARRH INVESTMENTS LIMITED,DJW,Not Applic,Other/Not Applicable,,,
DOCTOR CARE ANYWHERE GROUP PLC,DOC,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
DOME GOLD MINES LIMITED,DME,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DOMINION INCOME TRUST 1,DN1,Not Applic,Other/Not Applicable,,,
DOMINION INVESTMENT GROUP LIMITED,DMN,Not Applic,Other/Not Applicable,,,
DOMINO'S PIZZA ENTERPRISES LIMITED,DMP,Consumer Services,"Hotels, Restaurants & Leisure",,,
DORSAVI LTD,DVL,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
DOTZ NANO LIMITED,DTZ,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
DOWNER EDI LIMITED,DOW,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
DPM METALS INC.,DPM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DRAGON MOUNTAIN GOLD LIMITED,DMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DREADNOUGHT RESOURCES LTD,DRE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DRIVER AUSTRALIA EIGHT TRUST,DA8,Not Applic,Other/Not Applicable,,,
DRIVER AUSTRALIA ELEVEN TRUST,D11,Not Applic,Other/Not Applicable,,,
DRIVER AUSTRALIA MASTER TRUST,DAM,Not Applic,Other/Not Applicable,,,
DRIVER AUSTRALIA NINE TRUST,DA9,Not Applic,Other/Not Applicable,,,
DRIVER AUSTRALIA SEVEN TRUST,DAT,Not Applic,Other/Not Applicable,,,
DRIVER AUSTRALIA TEN TRUST,D10,Not Applic,Other/Not Applicable,,,
DRONESHIELD LIMITED,DRO,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
DTI GROUP LTD,DTI,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
DUBBER CORPORATION LIMITED,DUB,Software & Services,IT Services; Software,,,
DUG TECHNOLOGY LTD,DUG,Software & Services,IT Services; Software,,,
DUKETON MINING LIMITED,DKM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DUNDAS MINERALS LIMITED,DUN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DURATEC LIMITED,DUR,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
DUSK GROUP LIMITED,DSK,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
DUXTON FARMS LTD,DBF,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
DXN LIMITED,DXN,Software & Services,IT Services; Software,,,
DYNAMIC METALS LIMITED,DYM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
DYNO NOBEL LIMITED.,DNL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
E79 GOLD MINES LIMITED,E79,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EAGERS AUTOMOTIVE LIMITED,APE,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
EAGLE MOUNTAIN MINING LIMITED,EM2,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EARLYPAY LTD,EPY,Financial Services,Diversified Financials; Capital Markets,,,
EARTHS ENERGY LIMITED,EE1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EASTERN GAS CORPORATION LIMITED,EGA,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
EASTERN RESOURCES LIMITED,EFE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EBOS GROUP LIMITED,EBO,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
EBR SYSTEMS INC.,EBR,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ECHELON RESOURCES LIMITED,ECH,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ECHOIQ LIMITED,EIQ,Software & Services,IT Services; Software,,,
ECLIPSE METALS LIMITED.,EPM,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ECOGRAF LIMITED,EGR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ECP EMERGING GROWTH LIMITED,ECP,Not Applic,Other/Not Applicable,,,
ECS BOTANICS HOLDINGS LTD,ECS,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
EDEN INNOVATIONS LTD,EDE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
EDU HOLDINGS LIMITED,EDU,Consumer Services,"Hotels, Restaurants & Leisure",,,
ELANOR INVESTORS GROUP,ENN,Consumer Services,"Hotels, Restaurants & Leisure",,,
ELDERS LIMITED,ELD,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,EOS,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ELEMENT 25 LIMITED,E25,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ELEMENTOS LIMITED,ELT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ELEVATE URANIUM LTD,EL8,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ELEVRA LITHIUM LIMITED,ELV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ELIXINOL WELLNESS LIMITED,EXL,Household & Personal Products,Household Products; Personal Products,,,
ELIXIR ENERGY LIMITED,EXR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ELSIGHT LIMITED,ELS,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
EMBARK EARLY EDUCATION LIMITED,EVO,Consumer Services,"Hotels, Restaurants & Leisure",,,
EMBELTON LIMITED,EMB,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
EMC GOLD CORPORATION,EM3,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EMECO HOLDINGS LIMITED,EHL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
EMERALD RESOURCES NL,EMR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EMETALS LIMITED,EMT,Not Applic,Other/Not Applicable,,,
EMINENCE MINERALS LIMITED,EMA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EMIRATES NBD PJSC,EMI,Not Applic,Other/Not Applicable,,,
EML PAYMENTS LIMITED,EML,Financial Services,Diversified Financials; Capital Markets,,,
EMMERSON RESOURCES LIMITED,ERM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EMPEROR ENERGY LIMITED,EMP,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
EMPIRE RESOURCES LIMITED,ERL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EMU NL,EMU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EMVISION MEDICAL DEVICES LTD,EMV,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
EMYRIA LIMITED,EMD,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ENCOUNTER RESOURCES LIMITED,ENR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ENDEAVOUR GROUP LIMITED,EDV,Consumer Staples Distribution & Retail,Food & Staples Retailing,,,
ENECO REFRESH LTD,ERG,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
ENEGEX LIMITED,ENX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ENERGY ACTION LIMITED,EAX,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
ENERGY METALS LTD,EME,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ENERGY ONE LIMITED,EOL,Software & Services,IT Services; Software,,,
ENERGY RESOURCES OF AUSTRALIA LIMITED,ERA,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ENERGY TECHNOLOGIES LIMITED,EGY,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ENERGY TRANSITION MINERALS LTD,ETM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ENERGY WORLD CORPORATION LTD,EWC,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
ENERO GROUP LIMITED,EGG,Media & Entertainment,Media; Entertainment,,,
ENLITIC INC.,ENL,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ENOVA MINING LIMITED,ENV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ENTERPRISE METALS LIMITED,ENT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ENTROPY NEURODYNAMICS LIMITED,ENP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,ECT,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
ENVIRONMENTAL GROUP LIMITED (THE),EGL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
EPIMINDER LIMITED,EPI,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
EPSILON HEALTHCARE LIMITED,EPN,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
EPX LIMITED,EPX,Software & Services,IT Services; Software,,,
EQ RESOURCES LIMITED,EQR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EQT HOLDINGS LIMITED,EQT,Financial Services,Diversified Financials; Capital Markets,,,
EQUATORIAL RESOURCES LIMITED,EQX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EQUUS ENERGY LIMITED,EQU,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
EROAD LIMITED,ERD,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
ESTRELLA RESOURCES LIMITED,ESR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ETHERSTACK PLC,ESK,Software & Services,IT Services; Software,,,
EUREKA GROUP HOLDINGS LIMITED,EGH,Real Estate Management & Development,Real Estate Management & Development,,,
EURO MANGANESE INC,EMN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EUROPEAN LITHIUM LIMITED,EUR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EUROPEAN METALS HOLDINGS LIMITED,EMH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EUROPEAN RESOURCES LIMITED,ERE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EUROZ HARTLEYS GROUP LIMITED,EZL,Financial Services,Diversified Financials; Capital Markets,,,
EV RESOURCES LTD,EVR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EVE HEALTH GROUP LIMITED.,EVE,Financial Services,Diversified Financials; Capital Markets,,,
EVEREST METALS CORPORATION LTD,EMC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EVERGOLD MINERALS LIMITED,EG1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EVERLAST MINERALS LTD.,EV8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EVION GROUP NL,EVG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EVOLUTION ENERGY MINERALS LIMITED,EV1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EVT LIMITED,EVT,Media & Entertainment,Media; Entertainment,,,
EVZ LIMITED,EVZ,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
EXCELSIOR CAPITAL LTD,ECL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
EXCITE TECHNOLOGY SERVICES LTD,EXT,Software & Services,IT Services; Software,,,
EXPERIENCE CO LIMITED,EXP,Consumer Services,"Hotels, Restaurants & Leisure",,,
EXULTANT MINING LIMITED,10X,Materials,Chemicals; Construction Materials; Metals & Mining,,,
EZZ LIFE SCIENCE HOLDINGS LIMITED,EZZ,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
FALCON METALS LTD,FAL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FAR EAST GOLD LTD,FEG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FAR LIMITED,FAR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
FAR NORTHERN RESOURCES LIMITED,FNR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FARM PRIDE FOODS LIMITED,FRM,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,FPC,Not Applic,Other/Not Applicable,,,
FATFISH GROUP LIMITED,FFG,Financial Services,Diversified Financials; Capital Markets,,,
FBR LTD,FBR,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
FELIX GOLD LIMITED,FXG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FELIX GROUP HOLDINGS LTD,FLX,Software & Services,IT Services; Software,,,
FENIX RESOURCES LTD,FEX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FFI HOLDINGS LIMITED,FFI,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
FIDUCIAN GROUP LIMITED,FID,Financial Services,Diversified Financials; Capital Markets,,,
FIN RESOURCES LIMITED,FIN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FINBAR GROUP LIMITED,FRI,Real Estate Management & Development,Real Estate Management & Development,,,
FINDER ENERGY HOLDINGS LIMITED,FDR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
FINDI LIMITED,FND,Software & Services,IT Services; Software,,,
FINEOS CORPORATION HOLDINGS PLC,FCL,Software & Services,IT Services; Software,,,
FINEXIA FINANCIAL GROUP LIMITED,FNX,Financial Services,Diversified Financials; Capital Markets,,,
FIREBIRD METALS LIMITED,FRB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FIREBRICK PHARMA LIMITED,FRE,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
FIREFLY METALS LTD,FFM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FIRST AU LIMITED,FAU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FIRST GRAPHENE LIMITED,FGR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FIRST LITHIUM LIMITED,FL1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FIRSTMAC MORTGAGE FUNDING TRUST NO. 4 SERIES 1-2020,FM3,Not Applic,Other/Not Applicable,,,
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2019,FM2,Not Applic,Other/Not Applicable,,,
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 2-2020,FM5,Not Applic,Other/Not Applicable,,,
FIRSTMAC MORTGAGE FUNDING TRUST NO.4 SERIES 4-2019,FM1,Not Applic,Other/Not Applicable,,,
FIRSTWAVE CLOUD TECHNOLOGY LIMITED,FCT,Software & Services,IT Services; Software,,,
FITZROY RIVER CORPORATION LTD,FZR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
FLAGSHIP INVESTMENTS LIMITED,FSI,Not Applic,Other/Not Applicable,,,
FLAGSHIP MINERALS LIMITED,FLG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FLEETPARTNERS GROUP LIMITED,FPR,Financial Services,Diversified Financials; Capital Markets,,,
FLEETWOOD LIMITED,FWD,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
FLETCHER BUILDING LIMITED,FBU,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
FLEXIROAM LIMITED,FRX,Telecommunication Services,Diversified Telecommunication Services,,,
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT,Consumer Services,"Hotels, Restaurants & Leisure",,,
FLUENCE CORPORATION LIMITED,FLC,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
FLYNN GOLD LIMITED,FG1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FMR RESOURCES LIMITED,FMR,Media & Entertainment,Media; Entertainment,,,
FOCUS MINERALS LTD,FML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FORESTA GROUP HOLDINGS LIMITED,FGH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FORRESTANIA RESOURCES LIMITED,FRS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FORTE ENERGY LIMITED,FEL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
FORTESCUE LTD,FMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FORTIFAI LTD,FTI,Media & Entertainment,Media; Entertainment,,,
FORTUNA METALS LTD,FUN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FOS CAPITAL LTD,FOS,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
FREEDOM CARE GROUP HOLDINGS LIMITED,FCG,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
FREEHILL MINING LIMITED.,FHS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FREELANCER LIMITED,FLN,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
FREIGHTWAYS GROUP LIMITED,FRW,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
FRONTIER DIGITAL VENTURES LIMITED,FDV,Media & Entertainment,Media; Entertainment,,,
FRONTIER ENERGY LIMITED,FHE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FSA GROUP LIMITED,FSA,Financial Services,Diversified Financials; Capital Markets,,,
FULCRUM LITHIUM LTD,FUL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
FUTURE GENERATION AUSTRALIA LIMITED,FGX,Not Applic,Other/Not Applicable,,,
FUTURE GENERATION GLOBAL LIMITED,FGG,Not Applic,Other/Not Applicable,,,
FUTURE METALS NL,FME,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
G11 RESOURCES LIMITED,G11,Materials,Chemicals; Construction Materials; Metals & Mining,,,
G50 CORP LIMITED,G50,Materials,Chemicals; Construction Materials; Metals & Mining,,,
G8 EDUCATION LIMITED,GEM,Consumer Services,"Hotels, Restaurants & Leisure",,,
GALAN LITHIUM LIMITED,GLN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GALE PACIFIC LIMITED,GAP,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
GALILEE ENERGY LIMITED,GLL,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
GALILEO MINING LTD,GAL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GARDA PROPERTY GROUP,GDF,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
GATEWAY MINING LIMITED,GML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GBM RESOURCES LIMITED.,GBM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GCM CORPORATION LIMITED,GCM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GDI PROPERTY GROUP,GDI,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
GEMLIFE COMMUNITIES GROUP,GLF,Real Estate Management & Development,Real Estate Management & Development,,,
GENERATION DEVELOPMENT GROUP LIMITED,GDG,Insurance,Insurance,,,
GENESIS ENERGY LIMITED,GNE,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
GENESIS MINERALS LIMITED,GMD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GENESIS RESOURCES LIMITED,GES,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GENETIC SIGNATURES LIMITED,GSS,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
GENETIC TECHNOLOGIES LIMITED,GTG,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
GENMIN LIMITED,GEN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GENTRACK GROUP LIMITED,GTK,Software & Services,IT Services; Software,,,
GENUSPLUS GROUP LTD,GNP,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
GEOPACIFIC RESOURCES LTD,GPR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GIBB RIVER DIAMONDS LIMITED,GIB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GLENNON SMALL COMPANIES LIMITED,GC1,Not Applic,Other/Not Applicable,,,
GLG CORP LTD,GLE,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
GLOBAL HEALTH LIMITED,GLH,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
GLOBAL LITHIUM RESOURCES LIMITED,GL1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GLOBAL MASTERS FUND LIMITED,GFL,Not Applic,Other/Not Applicable,,,
GLOBE INTERNATIONAL LIMITED,GLB,Consumer Durables & Apparel,Household Durables; Leisure Products; Apparel,,,
GLOBE METALS & MINING LIMITED,GBE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GODOLPHIN RESOURCES LIMITED,GRL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLD HYDROGEN LIMITED,GHY,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
GOLD MOUNTAIN LIMITED,GMN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDARC RESOURCES LIMITED,GA8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDEN CROSS RESOURCES LTD,GCR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDEN DEEPS LIMITED.,GED,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDEN DRAGON MINING LTD,GDR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDEN GLOBE RESOURCES LTD.,GGR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDEN HORSE MINERALS LIMITED,GHM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDEN MILE RESOURCES LTD,G88,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOLDEN STATE MINING LIMITED,GSM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GORILLA GOLD MINES LTD,GG8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GOWING BROS LIMITED,GOW,Financial Services,Diversified Financials; Capital Markets,,,
GPT GROUP,GPT,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
GQG PARTNERS INC.,GQG,Financial Services,Diversified Financials; Capital Markets,,,
GR ENGINEERING SERVICES LIMITED,GNG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GRAINCORP LIMITED,GNC,Consumer Staples Distribution & Retail,Food & Staples Retailing,,,
GRAND GULF ENERGY LIMITED,GGE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
GRANGE RESOURCES LIMITED.,GRR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GRATIFII LIMITED,GTI,Software & Services,IT Services; Software,,,
GREAT BOULDER RESOURCES LIMITED,GBR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREAT DIRT RESOURCES LTD,GR8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREAT DIVIDE MINING LTD,GDM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREAT NORTHERN MINERALS LIMITED,GNM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREAT SOUTHERN MINING LIMITED,GSN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREAT WESTERN EXPLORATION LIMITED.,GTE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREATLAND RESOURCES LIMITED,GGP,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREEN & GOLD MINERALS LIMITED,GG1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREEN TECHNOLOGY METALS LIMITED,GT1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREEN360 TECHNOLOGIES LIMITED,GT3,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREENHY2 LIMITED,H2G,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
GREENTECH METALS LIMITED,GRE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREENVALE ENERGY LTD,GRV,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
GREENWING RESOURCES LTD,GW1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GREENX METALS LIMITED,GRX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GROUP 6 METALS LIMITED,G6M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GROUP ONE CAPITAL LIMITED,G1C,Real Estate Management & Development,Real Estate Management & Development,,,
GROWTHPOINT PROPERTIES AUSTRALIA,GOZ,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
GRYPHON CAPITAL INCOME TRUST,GCI,Not Applic,Other/Not Applicable,,,
GTN LIMITED,GTN,Media & Entertainment,Media; Entertainment,,,
